Name,Date,Open,High,Low,Close,Adj Close,Volume,Unnamed: 0,Natural_Gas_Price,Natural_Gas_Vol.,Crude_oil_Price,Crude_oil_Vol.,Copper_Price,Copper_Vol.,Bitcoin_Price,Bitcoin_Vol.,Platinum_Price,Platinum_Vol.,Ethereum_Price,Ethereum_Vol.,S&P_500_Price,Nasdaq_100_Price,Nasdaq_100_Vol.,Apple_Price,Apple_Vol.,Tesla_Price,Tesla_Vol.,Microsoft_Price,Microsoft_Vol.,Silver_Price,Silver_Vol.,Google_Price,Google_Vol.,Nvidia_Price,Nvidia_Vol.,Berkshire_Price,Berkshire_Vol.,Netflix_Price,Netflix_Vol.,Amazon_Price,Amazon_Vol.,Meta_Price,Meta_Vol.,Gold_Price,Gold_Vol.,MAANG_Market_Diff_Pct
AMZN,2022-01-03,167.550003,170.703506,166.160507,170.404495,170.404495,63520000,480,4.573,112550.0,103.41,698810.0,4.5965,69000.0,44420.3,90670,1052.9,2200.0,2975.81,828620,4306.26,14005.99,262940000.0,163.2,83470000,288.12,74770000,294.95,31220000,25.541,68560.0,134.06,26500000,234.77,41210000,475879,1820,386.24,3290000,151.14,44870000,203.49,27090000,1943.8,224000.0,-96.04286561888972
AMZN,2022-01-04,170.438004,171.399994,166.349503,167.522003,167.522003,70726000,457,5.72,178520.0,99.27,324780.0,4.6785,30.0,46297.0,632930000,988.6,13260.0,3456.18,649920,4545.86,14861.21,215300000.0,174.31,78750000,361.53,54260000,309.42,27110000,24.654,44250.0,140.15,25940000,267.12,51720000,527760,2610,373.47,4640000,163.56,57090000,224.85,19540000,1923.7,135150.0,-96.31484464985724
AMZN,2022-01-06,163.4505,164.800003,161.936996,163.253998,163.253998,51958000,417,8.696,111960.0,115.26,290530.0,4.3475,750.0,29798.5,135090,997.7,2820.0,1818.07,1290000,4101.23,12548.36,207110000.0,148.71,74290000,246.79,77250000,272.42,25290000,21.915,51150.0,113.89,36610000,183.2,54450000,469620,2140,192.91,8420000,121.68,127530000,188.64,36270000,1848.7,158040.0,-96.01938935392552
AMZN,2022-01-07,163.839005,165.2435,162.031006,162.554001,162.554001,46606000,397,5.73,106970.0,108.43,305340.0,3.62,1940.0,19262.9,150180,871.3,23960.0,1058.94,1890000,3825.33,11585.68,223730000.0,138.93,71050000,227.26,74460000,259.58,22840000,19.667,75670.0,108.74,35480000,145.23,57760000,415850,1720,179.95,5200000,109.56,73020000,160.03,31420000,1801.5,249490.0,-95.75058881194563
AMZN,2022-01-11,161.5,166.350006,160.701508,165.362,165.362,62806000,314,5.714,136650.0,88.37,274320.0,3.457,14760.0,20483.5,302720,950.5,19540.0,1579.64,593310,3856.1,11288.95,258910000.0,150.65,80380000,227.82,62690000,228.17,30590000,19.667,74280.0,90.47,47160000,135.43,43280000,443004,2450,286.75,6920000,96.79,153370000,95.2,109620000,1649.7,197980.0,-95.71167760172195
AMZN,2022-01-12,166.574997,166.878006,164.417007,165.207001,165.207001,50030000,293,6.738,94560.0,81.33,139840.0,3.8175,59940.0,16972.0,266140,1054.9,25930.0,1276.05,453590,4076.57,12041.9,257490000.0,148.31,71250000,194.7,80050000,254.69,26040000,22.841,73640.0,100.99,28690000,171.35,47100000,477085,2950,316.95,14660000,95.5,68490000,120.44,36490000,1815.2,226150.0,-95.94740183536649
AMZN,2022-02-02,155.050507,155.074997,148.863495,150.612503,150.612503,87330000,497,5.501,305900.0,88.26,456860.0,4.4935,220.0,36890.2,53740,1043.2,170.0,2681.0,602400,4589.32,15139.74,297730000.0,175.84,84910000,301.89,66790000,313.46,36640000,22.707,38340.0,148.0,123200000,252.42,54340000,479500,1880,429.48,14350000,150.61,87330000,323.0,58460000,1810.3,123020.0,-96.71819565861608
AMZN,2022-02-03,141.737503,144.247498,138.332993,138.845505,138.845505,225532000,479,4.762,141690.0,110.6,651850.0,4.6655,79620.0,43912.8,80820,1068.2,1840.0,2947.14,740370,4386.54,14243.69,233560000.0,166.56,79730000,293.3,74640000,300.19,31870000,25.19,69470.0,134.57,23520000,242.2,38960000,486109,1620,380.03,5360000,152.05,47330000,208.11,29450000,1922.3,227980.0,-96.834737515217
AMZN,2022-02-08,156.750504,161.792496,155.550507,161.413498,161.413498,76040000,377,7.706,106080.0,94.42,328540.0,3.5335,3490.0,22988.6,177300,906.4,280.0,1631.48,1250000,4091.19,12901.6,215110000.0,160.01,59910000,300.59,95580000,274.82,22750000,20.139,64540.0,115.13,20240000,185.26,48950000,439180,2270,221.42,6360000,134.16,61920000,160.19,27370000,1789.7,174170.0,-96.05460763249812
AMZN,2022-02-09,162.873505,163.834503,160.25,161.189499,161.189499,68786000,354,8.786,103170.0,86.87,277530.0,3.409,4850.0,19952.7,272220,822.3,2790.0,1575.34,1040000,3924.26,12098.44,249110000.0,155.81,76960000,270.21,50890000,256.06,22860000,17.881,62960.0,107.85,24160000,136.47,74320000,417940,2580,226.11,8160000,127.51,57430000,160.32,22630000,1722.6,174680.0,-95.89248676183534
